"filename", "language", "JSON", "Markdown", "mcfunction", "comment", "blank", "total"
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\ignis_temptates.mcfunction", "mcfunction", 0, 0, 9, 0, 2, 11
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\spell_events\while\main.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\uninstall.mcfunction", "mcfunction", 0, 0, 20, 0, 4, 24
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\utility\drop_from_mainhand.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\utility\drop_from_offhand.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\main.mcfunction", "mcfunction", 0, 0, 6, 0, 2, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_1\main.mcfunction", "mcfunction", 0, 0, 10, 2, 6, 18
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_1\swapto.mcfunction", "mcfunction", 0, 0, 10, 0, 5, 15
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_2\main.mcfunction", "mcfunction", 0, 0, 10, 2, 5, 17
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_2\swapto.mcfunction", "mcfunction", 0, 0, 10, 0, 4, 14
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_3\main.mcfunction", "mcfunction", 0, 0, 10, 2, 4, 16
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\slot_3\swapto.mcfunction", "mcfunction", 0, 0, 10, 0, 4, 14
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\cast.mcfunction", "mcfunction", 0, 0, 6, 0, 2, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\no_raycast\main.mcfunction", "mcfunction", 0, 0, 14, 0, 4, 18
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\no_raycast\spells_effect\amogius.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\no_raycast\spells_effect\auxiliare.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\no_raycast\spells_effect\circulum_sanitatem.mcfunction", "mcfunction", 0, 0, 3, 0, 2, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\no_raycast\spells_effect\commovus.mcfunction", "mcfunction", 0, 0, 3, 0, 4, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\block_impact.mcfunction", "mcfunction", 0, 0, 9, 0, 1, 10
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\entity_impact.mcfunction", "mcfunction", 0, 0, 8, 0, 0, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\main.mcfunction", "mcfunction", 0, 0, 13, 0, 4, 17
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\raycast.mcfunction", "mcfunction", 0, 0, 13, 1, 10, 24
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\aguamenti.mcfunction", "mcfunction", 0, 0, 7, 0, 1, 8
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\ardo.mcfunction", "mcfunction", 0, 0, 4, 0, 0, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\attonus.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\consedo.mcfunction", "mcfunction", 0, 0, 4, 0, 1, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\iunior.mcfunction", "mcfunction", 0, 0, 2, 0, 1, 3
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\block\wingardium_leviosa.mcfunction", "mcfunction", 0, 0, 4, 0, 1, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\aguamenti.mcfunction", "mcfunction", 0, 0, 5, 0, 1, 6
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\ardo.mcfunction", "mcfunction", 0, 0, 4, 0, 3, 7
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\attonus.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\consedo.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\iunior.mcfunction", "mcfunction", 0, 0, 7, 0, 2, 9
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\entity\wingardium_leviosa.mcfunction", "mcfunction", 0, 0, 3, 0, 2, 5
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\spells\raycast\spells_impact\ignis_temptates.mcfunction", "mcfunction", 0, 0, 3, 0, 1, 4
"c:\Users\Flynn\AppData\Roaming\.minecraft\saves\Hexenwerk Test World\datapacks\Hexenwerk-Datapack\data\hexenwerk\functions\wand\swapslot.mcfunction", "mcfunction", 0, 0, 7, 0, 3, 10
